composer,composer_dob,opera
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),La pandereta (1915 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),La última opereta (1915 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),"Ysidrín, o Las cuaranta y nueve privincias (1915 Madrid)"
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),La embajadora (1916 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),La Eva ideal (1916 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),La guitarra del amor (1916 Madrid) [+ Bretón]
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),La costilla de Adán (1917 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),Esta noche es nochebuena (1917 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),El Zorro (1917 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),Abejas y zánganos (1918 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),La bella persa (1918 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),Tras Tristán (1918 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),La España de la alegría (1919 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),El gran Olavide (1919 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),Soleares (1919 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),La cortesana de Omán (1920 Madrid)
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),Ardid de guerra ()
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),Caballeros en plaza ()
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),El estudiante de maravillas ()
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),Las figuras de cera ()
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),Los húngaros ()
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),Panorama nacional ()
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),Peluquero de señoras ()
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),La puerta del infierno ()
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),Un viaje de los demonios ()
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),Los voluntarios ()
"Giménez [Jiménez] (y Bellido), Jerónimo",(10.10.1854 Sevilla - 19.2.1923 Madrid),Ya soy proprietario ()
"Ginastera, Alberto (Evaristo)",(11.4.1916 Buenos Aires - 25.6.1983 Genève),Don Rodrigo (24.7.1964 Buenos Aires)
"Ginastera, Alberto (Evaristo)",(11.4.1916 Buenos Aires - 25.6.1983 Genève),Bomarzo (19.5.1967 Washington)
"Ginastera, Alberto (Evaristo)",(11.4.1916 Buenos Aires - 25.6.1983 Genève),Beatrix Cenci (10.9.1971 Washington)
"Ginastera, Alberto (Evaristo)",(11.4.1916 Buenos Aires - 25.6.1983 Genève),Barabbas (1977)
"Giner y Vidal, Salvador",(19.1.1832 Valencia - 3.11.1911 Valencia),¿Con quién caso a mi mujer? (1875)
"Giner y Vidal, Salvador",(19.1.1832 Valencia - 3.11.1911 Valencia),El rayo de sol (1883)
"Giner y Vidal, Salvador",(19.1.1832 Valencia - 3.11.1911 Valencia),Sagunto (1.1891 Valencia)
"Giner y Vidal, Salvador",(19.1.1832 Valencia - 3.11.1911 Valencia),Los mendigos (1896)
"Giner y Vidal, Salvador",(19.1.1832 Valencia - 3.11.1911 Valencia),El soñador (7.4.1901 Valencia)
"Giner y Vidal, Salvador",(19.1.1832 Valencia - 3.11.1911 Valencia),El fantasma (9.4.1901 Valencia)
"Giner y Vidal, Salvador",(19.1.1832 Valencia - 3.11.1911 Valencia),Morel (18.4.1901 Valencia)
"Giordani, Carmine",(c.1685 Cerreto - 1758 Napoli),La vittoria dell'amor coniugale (1712 Napoli)
"Giordani [Giordanello], Giuseppe",(9.12.1743 Napoli - 4.1.1798 Fermo),L'astuto in imbroglio (1771 Pisa?)
"Giordani [Giordanello], Giuseppe",(9.12.1743 Napoli - 4.1.1798 Fermo),Epponina (1779 Firenze)
"Giordani [Giordanello], Giuseppe",(9.12.1743 Napoli - 4.1.1798 Fermo),Elpinice (1781 Bologna)
"Giordani [Giordanello], Giuseppe",(9.12.1743 Napoli - 4.1.1798 Fermo),Ritorno d'Ulisse (1782 Mantova)
"Giordani [Giordanello], Giuseppe",(9.12.1743 Napoli - 4.1.1798 Fermo),L'Acomate (1783 Pisa)
"Giordani [Giordanello], Giuseppe",(9.12.1743 Napoli - 4.1.1798 Fermo),"Erifile (1783 Bergamo, Genova)"
"Giordani [Giordanello], Giuseppe",(9.12.1743 Napoli - 4.1.1798 Fermo),Pizarro nell'Indie (1784 Firenze)
