name,year_of_birth,year_of_death,place_of_birth,gender,other_names,ddd,ddd,last_name,first_name,,
Balfe,1808,1870,Ireland,Male,Balfe Michael William,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Balfe', 1808, 1870, 'Ireland', 'Male', 'Balfe Michael William')",#VALUE!,Balfe,Michael,William,"Balfe, Michael William"
Banchieri,1568,1634,Italy,Male,Banchieri,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Banchieri', 1568, 1634, 'Italy', 'Male', 'Banchieri')",#VALUE!,Banchieri,,,"Banchieri, "
Banevich,1941,,Russian Federation,Male,Banevich Sergei,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Banevich', 1941, 'Russian Federation', 'Male', 'Banevich Sergei')",#VALUE!,Banevich,Sergei,,"Banevich, Sergei"
Bao,1968,,China,Male,Bao,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Bao', 1968, 'China', 'Male', 'Bao')",#VALUE!,Bao,,,"Bao, "
Barab,1921,2014,United States of America,Male,Barab,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Barab', 1921, 2014, 'United States of America', 'Male', 'Barab')",#VALUE!,Barab,,,"Barab, "
Barber,1910,1981,United States of America,Male,Barber Samuel,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Barber', 1910, 1981, 'United States of America', 'Male', 'Barber Samuel')",#VALUE!,Barber,Samuel,,"Barber, Samuel"
Barbieri,1823,1894,Spain,Male,Barbieri Carlo Emanuele ,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Barbieri', 1823, 1894, 'Spain', 'Male', 'Barbieri Carlo Emanuele ')",#VALUE!,Barbieri,Carlo,Emanuele,"Barbieri, Carlo Emanuele"
Barbu,1903,1984,Romania,Male,Barbu,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Barbu', 1903, 1984, 'Romania', 'Male', 'Barbu')",#VALUE!,Barbu,,,"Barbu, "
Barnabe,1951,,Brazil,Male,Barnabe,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Barnabe', 1951, 'Brazil', 'Male', 'Barnabe')",#VALUE!,Barnabe,,,"Barnabe, "
Barry,1952,,Ireland,Male,Barry,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Barry', 1952, 'Ireland', 'Male', 'Barry')",#VALUE!,Barry,,,"Barry, "
Bates,1977,,United States of America,Male,Bates William ,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Bates', 1977, 'United States of America', 'Male', 'Bates William ')",#VALUE!,Bates,William,,"Bates, William"
Batin Dmitry,,,Russian Federation,Male,Batin Dmitry,"insert into composers (name, place_of_birth, gender, other_names) values ('Batin Dmitry', 'Russian Federation', 'Male', 'Batin Dmitry')",#VALUE!,Batin,Dmitry,,"Batin, Dmitry"
Battistelli,1953,,Italy,Male,Battistelli,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Battistelli', 1953, 'Italy', 'Male', 'Battistelli')",#VALUE!,Battistelli,,,"Battistelli, "
Baumgartner,1959,,Austria,Male,Baumgartner,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Baumgartner', 1959, 'Austria', 'Male', 'Baumgartner')",#VALUE!,Baumgartner,,,"Baumgartner, "
Beach,1867,1944,United States of America,Female,Beach John Parsons,"insert into composers (name, year_of_birth, year_of_death, place_of_birth, gender, other_names) values ('Beach', 1867, 1944, 'United States of America', 'Female', 'Beach John Parsons')",#VALUE!,Beach,John,Parsons,"Beach, John Parsons"
Beck Jeremy Howard,,,United States of America,Male,Beck Jeremy Howard,"insert into composers (name, place_of_birth, gender, other_names) values ('Beck Jeremy Howard', 'United States of America', 'Male', 'Beck Jeremy Howard')",#VALUE!,Beck,Jeremy,Howard,"Beck, Jeremy Howard"
Bedford,1978,,United Kingdom,Male,Bedford David ,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Bedford', 1978, 'United Kingdom', 'Male', 'Bedford David ')",#VALUE!,Bedford,David,,"Bedford, David"
Beecher,1980,,United States of America,Male,Beecher,"insert into composers (name, year_of_birth, place_of_birth, gender, other_names) values ('Beecher', 1980, 'United States of America', 'Male', 'Beecher')",#VALUE!,Beecher,,,"Beecher, "
